City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,26.47,97,96,3.65,overcast clouds
1,Shipunovo,RU,52.1582,82.2173,67.28,61,25,7.38,scattered clouds
2,Cape Town,ZA,-33.9258,18.4232,55.11,91,54,1.01,light rain
3,Qaanaaq,GL,77.484,-69.3632,36.91,98,100,13.89,light rain
4,Camacha,PT,33.0833,-16.3333,67.42,73,75,9.22,broken clouds
5,Bonavista,CA,48.6499,-53.1147,62.67,90,0,12.35,clear sky
6,Hermanus,ZA,-34.4187,19.2345,53.8,81,83,12.41,light rain
7,Luena,AO,-11.7833,19.9167,53.15,58,52,3.71,broken clouds
8,Inhambane,MZ,-23.865,35.3833,65.19,84,2,2.21,clear sky
9,Pangnirtung,CA,66.1451,-65.7125,50.7,65,64,1.59,broken clouds
10,Namibe,AO,-15.1961,12.1522,61.86,83,0,4.03,clear sky
11,Ukiah,US,39.1502,-123.2078,91.36,29,0,8.05,clear sky
12,Carnarvon,AU,-24.8667,113.6333,65.95,55,92,5.68,overcast clouds
13,Dwarka,IN,22.2394,68.9678,81.99,82,99,19.39,overcast clouds
14,East London,ZA,-33.0153,27.9116,63.54,67,100,11.16,overcast clouds
15,Esperance,AU,-33.8667,121.9,61.2,61,3,20.54,clear sky
16,Broome,US,42.2506,-75.833,72.68,86,0,6.91,clear sky
17,Sobolevo,RU,54.4299,31.8996,57.31,84,0,1.45,clear sky
18,Motygino,RU,58.1831,94.7592,64.36,81,93,3.42,overcast clouds
19,Cabo San Lucas,MX,22.8909,-109.9124,91.71,57,0,11.5,clear sky
20,Lebu,CL,-37.6167,-73.65,53.06,95,100,12.95,heavy intensity rain
21,Ostrovnoy,RU,68.0531,39.5131,51.71,88,98,16.24,overcast clouds
22,Butaritari,KI,3.0707,172.7902,81.99,76,100,7.9,overcast clouds
23,Kayerkan,RU,69.3497,87.7602,75.52,41,28,9.35,scattered clouds
24,Chandbali,IN,20.7833,86.7667,83.52,78,100,3.98,overcast clouds
25,New Norfolk,AU,-42.7826,147.0587,57.92,75,100,1.01,overcast clouds
26,Mataura,NZ,-46.1927,168.8643,45.48,64,5,2.86,clear sky
27,Chernyshevskiy,RU,63.0128,112.4714,73.78,50,36,6.69,scattered clouds
28,Barrow,US,71.2906,-156.7887,39.22,93,100,12.66,mist
29,Aykhal,RU,66.0,111.5,67.84,58,3,6.49,clear sky
30,Pailon,BO,-17.65,-62.75,72.5,67,0,5.32,clear sky
31,Tuktoyaktuk,CA,69.4541,-133.0374,54.16,75,99,11.43,overcast clouds
32,Vaini,TO,-21.2,-175.2,73.26,77,70,20.13,broken clouds
33,Hobyo,SO,5.3505,48.5268,75.16,78,23,20.49,few clouds
34,Roald,NO,62.5833,6.1333,56.34,87,100,19.57,overcast clouds
35,Pingliang,CN,35.5392,106.6861,73.56,55,0,7.56,clear sky
36,Nikolskoye,RU,59.7035,30.7861,66.09,83,9,5.41,clear sky
37,Leningradskiy,RU,69.3833,178.4167,38.91,79,67,7.38,broken clouds
38,Albany,US,42.6001,-73.9662,77.41,82,48,8.81,scattered clouds
39,Tlalmanalco,MX,19.2167,-98.8,68.76,85,60,4.27,broken clouds
40,Douglas,US,41.3,-96.167,90.7,60,0,5.75,clear sky
41,Neepawa,CA,50.2289,-99.4664,65.75,89,38,5.91,scattered clouds
42,Bredasdorp,ZA,-34.5322,20.0403,53.69,89,99,8.86,light rain
43,Saldanha,ZA,-33.0117,17.9442,57.7,79,99,11.5,overcast clouds
44,Goundam,ML,16.4145,-3.6708,89.69,43,99,5.93,overcast clouds
45,Busselton,AU,-33.65,115.3333,60.17,82,100,24.61,light rain
46,Puerto Ayora,EC,-0.7393,-90.3518,69.55,90,10,3.0,clear sky
47,Ikauna,IN,27.55,81.9667,85.68,67,100,15.55,overcast clouds
48,Tekirdag,TR,40.978,27.5085,63.75,47,0,4.27,clear sky
49,Souillac,MU,-20.5167,57.5167,69.4,79,37,13.76,scattered clouds
50,Atuona,PF,-9.8,-139.0333,77.58,77,14,15.28,few clouds
51,Bambous Virieux,MU,-20.3428,57.7575,68.22,75,8,16.15,clear sky
52,Irtyshskiy,RU,58.3333,68.1333,55.63,80,42,6.85,scattered clouds
53,Surab,PK,28.4914,66.2585,73.09,67,89,0.65,overcast clouds
54,Lappeenranta,FI,61.0587,28.1887,62.65,95,0,3.44,clear sky
55,Beidao,CN,34.5686,105.8933,77.54,56,0,3.87,clear sky
