City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,68.52,45,40,12.66,scattered clouds
1,Albany,US,42.6001,-73.9662,76.51,77,48,1.01,light rain
2,Ushuaia,AR,-54.8,-68.3,35.26,87,75,21.85,light rain
3,Wladyslawowo,PL,54.7909,18.4009,62.15,89,7,8.59,clear sky
4,Nizwa,OM,22.9333,57.5333,84.22,69,98,3.04,overcast clouds
5,Georgetown,MY,5.4112,100.3354,82.89,90,20,5.01,few clouds
6,Avarua,CK,-21.2078,-159.775,78.85,78,65,14.97,broken clouds
7,Olafsvik,IS,64.8945,-23.7142,53.06,80,10,4.65,clear sky
8,Rikitea,PF,-23.1203,-134.9692,72.59,75,18,9.19,few clouds
9,Chokurdakh,RU,70.6333,147.9167,60.62,41,67,10.78,broken clouds
10,Zhuhai,CN,22.2769,113.5678,92.86,74,20,4.61,few clouds
11,Bilibino,RU,68.0546,166.4372,51.44,49,7,7.07,clear sky
12,East London,ZA,-33.0153,27.9116,63.54,67,100,11.16,overcast clouds
13,Hobart,AU,-42.8794,147.3294,58.26,71,100,1.99,overcast clouds
14,Busselton,AU,-33.65,115.3333,60.17,82,100,24.61,light rain
15,Ostrovnoy,RU,68.0531,39.5131,51.71,88,98,16.24,overcast clouds
16,Vaini,TO,-21.2,-175.2,75.36,88,75,12.66,broken clouds
17,Hilo,US,19.7297,-155.09,84.27,81,100,10.36,moderate rain
18,Burns Lake,CA,54.2331,-125.7533,74.62,35,5,7.18,clear sky
19,Albanel,CA,48.8832,-72.4487,71.74,88,26,2.3,scattered clouds
20,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,63,40,2.95,scattered clouds
21,Atuona,PF,-9.8,-139.0333,77.58,77,14,15.28,few clouds
22,Broken Hill,AU,-31.95,141.4333,61.39,57,100,11.92,overcast clouds
23,Castro,BR,-24.7911,-50.0119,57.36,70,58,2.19,broken clouds
24,Ancud,CL,-41.8697,-73.8203,41.23,96,100,12.15,light rain
25,Port Alfred,ZA,-33.5906,26.891,60.78,75,100,10.47,overcast clouds
26,Bandarbeyla,SO,9.4942,50.8122,76.75,76,4,27.34,clear sky
27,Ixtapa,MX,20.7,-105.2,87.03,55,100,5.75,overcast clouds
28,Angol,CL,-37.8,-72.7167,52.93,97,100,5.12,light rain
29,Jalalabad,AF,34.4265,70.4515,87.44,58,54,2.89,broken clouds
30,Cherskiy,RU,68.75,161.3,53.38,47,23,2.13,few clouds
31,Punta Arenas,CL,-53.15,-70.9167,35.71,69,0,14.97,clear sky
32,Puerto Ayora,EC,-0.7393,-90.3518,69.55,90,10,3.0,clear sky
33,Sitka,US,57.0531,-135.33,53.49,94,100,8.05,light rain
34,Lebu,CL,-37.6167,-73.65,53.06,95,100,12.95,moderate rain
35,Carolina,PR,18.3808,-65.9574,82.29,81,20,14.97,few clouds
36,La Ronge,CA,55.1001,-105.2842,57.45,67,100,9.22,overcast clouds
