City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-07-21 23:37:26,-53.15,-70.9167,32.11,93,20,20.71
1,Cidreira,BR,2022-07-21 23:41:13,-30.1811,-50.2056,62.64,90,90,3.98
2,Iqaluit,CA,2022-07-21 23:39:15,63.7506,-68.5145,44.33,87,20,4.61
3,Busselton,AU,2022-07-21 23:41:14,-33.65,115.3333,59.56,79,76,9.75
4,Ushuaia,AR,2022-07-21 23:37:56,-54.8,-68.3,31.66,86,75,28.77
5,Chapais,CA,2022-07-21 23:41:14,49.7834,-74.8492,65.98,94,99,12.21
6,Vaitape,PF,2022-07-21 23:41:15,-16.5167,-151.75,77.23,73,13,10.92
7,Olinda,BR,2022-07-21 23:41:15,-8.0089,-34.8553,76.73,78,20,6.91
8,Mach,PK,2022-07-21 23:41:16,29.8637,67.3298,78.51,83,93,3.13
9,Chokurdakh,RU,2022-07-21 23:41:16,70.6333,147.9167,55.94,32,3,7.67
10,Yerofey Pavlovich,RU,2022-07-21 23:41:16,53.9667,121.9667,72.28,72,47,4.09
11,Clyde River,CA,2022-07-21 23:41:17,70.4692,-68.5914,37.63,100,100,8.05
12,Vaini,TO,2022-07-21 23:41:17,-21.2,-175.2,78.96,83,40,5.75
13,Lorengau,PG,2022-07-21 23:39:37,-2.0226,147.2712,84.15,72,88,10.18
14,Barrow,US,2022-07-21 23:41:18,71.2906,-156.7887,46.42,76,20,26.46
15,Albany,US,2022-07-21 23:37:31,42.6001,-73.9662,90.01,59,17,8.99
16,Kawai,JP,2022-07-21 23:41:18,34.2333,135.85,74.62,88,84,3.96
17,Chuy,UY,2022-07-21 23:41:18,-33.6971,-53.4616,51.89,88,93,6.93
18,Dunmore Town,BS,2022-07-21 23:41:19,25.5,-76.65,82.8,76,9,14.03
19,Saint George,US,2022-07-21 23:41:19,37.1041,-113.5841,111.63,11,0,24.16
20,Laguna,US,2022-07-21 23:41:20,38.421,-121.4238,104.76,23,0,9.22
21,Santander,ES,2022-07-21 23:36:29,43.4647,-3.8044,70.3,91,100,5.01
22,Alofi,NU,2022-07-21 23:37:36,-19.0595,-169.9187,82.29,57,40,8.05
23,Whitianga,NZ,2022-07-21 23:41:20,-36.8333,175.7,55.42,58,63,8.68
24,New Norfolk,AU,2022-07-21 23:41:21,-42.7826,147.0587,48.92,80,1,3.22
25,Castro,BR,2022-07-21 23:36:37,-24.7911,-50.0119,59.23,83,64,2.28
26,Bredasdorp,ZA,2022-07-21 23:41:21,-34.5322,20.0403,46.83,87,100,4.18
27,Puerto Ayora,EC,2022-07-21 23:37:24,-0.7393,-90.3518,75.16,94,51,5.99
28,East London,ZA,2022-07-21 23:41:22,-33.0153,27.9116,58.82,77,2,9.01
29,Yellowknife,CA,2022-07-21 23:41:22,62.456,-114.3525,68.52,40,75,6.91
30,Mahebourg,MU,2022-07-21 23:40:42,-20.4081,57.7,70.25,77,40,11.5
31,Kismayo,SO,2022-07-21 23:41:23,-0.3582,42.5454,74.62,83,78,19.93
32,Karratha,AU,2022-07-21 23:41:24,-20.7377,116.8463,70.03,77,1,6.98
33,Kapaa,US,2022-07-21 23:41:24,22.0752,-159.319,85.98,68,20,16.11
34,Angoche,MZ,2022-07-21 23:41:25,-16.2325,39.9086,70.29,79,0,4.36
35,Carlisle,US,2022-07-21 23:36:42,40.2015,-77.1889,91.04,58,37,11.88
36,Kruisfontein,ZA,2022-07-21 23:38:19,-34.0033,24.7314,49.33,85,47,5.37
37,San Patricio,US,2022-07-21 23:39:24,28.017,-97.5169,93.54,57,30,18.68
38,Mataura,NZ,2022-07-21 23:41:26,-46.1927,168.8643,43.48,91,100,1.1
39,Acari,PE,2022-07-21 23:41:26,-15.4311,-74.6158,62.08,82,38,3.42
40,Savannah Bight,HN,2022-07-21 23:37:10,16.45,-85.85,82.63,81,17,19.66
